id;principale;nom;prenom;adresse_ligne_1;adresse_ligne_2;gouvernorat;ville;cite;indication;telephone;mobile;cree_le;cree_par;modifie_le;modifie_par
1;true;Qatari Rial Supervisor compress;discrete Bermudian Dollar (customarily known as Bermuda Dollar) Awesome;74270;96694;index bus orchid;Specialist transform copying;redundant Awesome Metal Chips Personal Loan Account;holistic;98035;66811;2020-05-02;73633;2020-05-02;99178
2;true;overriding neural transmit;Central;43766;13917;evolve target;monitor;extranet;Buckinghamshire Practical;67256;96066;2020-05-02;49907;2020-05-02;22287
3;true;Small Fresh Chicken indexing;TCP;32489;94242;Avon calculate application;application;Rhode Island indexing;Practical Steel Tuna Cambridgeshire;91773;32864;2020-05-02;53175;2020-05-02;98441
4;false;Computers;Soft;1350;44935;Roads solid state;invoice;sensor Expanded;web-readiness Japan;36311;52718;2020-05-02;16014;2020-05-02;79499
5;true;deposit Brand;Pitcairn Islands Dynamic enterprise;49669;61871;backing up Gloves alarm;haptic online Knoll;Steel multi-state driver;International;9381;63075;2020-05-02;70568;2020-05-02;93169
6;false;Savings Account;scalable;86393;86770;West Virginia Reduced;Identity solid state;Down-sized Directives;local area network Mall;34085;61901;2020-05-02;35493;2020-05-02;89204
7;true;Forward Lithuania;bypassing;59312;41195;unleash Ameliorated;users;overriding reboot;programming bypass Pants;57776;2192;2020-05-02;98833;2020-05-02;29902
8;true;multi-byte Representative Product;killer sky blue;68525;57666;Unions deposit Indiana;Home Loan Account New Jersey Clothing;Louisiana Rustic Rubber Ball;JBOD;71706;50881;2020-05-02;89343;2020-05-02;1459
9;true;help-desk;Cambridgeshire Intelligent Rubber Chips;94326;69995;content stable Awesome;leverage;compressing reboot;instruction set Sleek;45967;96005;2020-05-02;55729;2020-05-03;94344
10;true;deposit;metrics;59057;42290;North Dakota;Switzerland;communities Concrete;Bacon Sleek feed;22230;13280;2020-05-02;52104;2020-05-02;29273
