id;civilite;nom;prenom;date_de_naissance;email;mobile;reglement;etat;derniere_visite;total_achat;categorie;points_fidelite;cree_le;cree_par;modifie_le;modifie_par
1;M;Spring Belize Dollar;architecture invoice Rhode Island;2020-05-02;Rickie71@yahoo.com;34695;Cash;true;2020-05-02;65665;Silver;70423;2020-05-02;7966;2020-05-02;39476
2;Mme;global Springs Checking Account;superstructure parsing Ergonomic;2020-05-02;Gabriella_Gottlieb43@yahoo.com;43774;Cartebancaire;false;2020-05-02;96935;Platinium;60401;2020-05-02;16306;2020-05-02;36390
3;M;Avon Handmade paradigms;transitional Idaho Villages;2020-05-02;Vidal30@hotmail.com;7200;Cash;false;2020-05-03;44804;Gold;73059;2020-05-02;48220;2020-05-02;97821
4;Mme;global;Electronics;2020-05-02;Turner35@gmail.com;38382;Cartebancaire;false;2020-05-02;91628;Silver;74187;2020-05-02;36278;2020-05-02;64016
5;Mme;wireless SCSI Wyoming;bluetooth;2020-05-02;Alia.Leannon@hotmail.com;62998;Cheque;false;2020-05-02;91676;Gold;5535;2020-05-02;86752;2020-05-02;35256
6;M;Central cohesive;efficient reinvent generating;2020-05-02;Kory.Corkery92@yahoo.com;91427;Cash;false;2020-05-02;17747;Gold;19452;2020-05-03;77003;2020-05-02;79907
7;Mme;Soft leading-edge;synthesize;2020-05-02;Evans71@yahoo.com;85964;Cash;true;2020-05-02;12983;Gold;80594;2020-05-02;18789;2020-05-02;60455
8;Mme;next generation;Books;2020-05-02;Eileen.Strosin77@yahoo.com;70286;Cheque;false;2020-05-02;47606;Silver;20185;2020-05-02;45673;2020-05-02;65209
9;Mme;fresh-thinking Sleek;eyeballs Principal;2020-05-03;Leslie0@yahoo.com;86730;Cartebancaire;false;2020-05-02;93613;Gold;89614;2020-05-02;612;2020-05-03;24363
10;M;Liaison Bedfordshire Venezuela;JSON secondary Beauty;2020-05-02;Lilian95@gmail.com;95710;Cartebancaire;true;2020-05-02;50903;Platinium;92566;2020-05-02;49030;2020-05-02;30040
